epoch,train_loss,val_loss
1,11.538318940571376,10.607072149004255
2,8.972236548151288,8.089212008884974
3,7.114867448806763,6.096513884408133
4,5.03893165077482,4.288099425179618
5,3.7820402213505337,3.4803478377205983
6,3.0565229994910106,2.8562168734414235
7,2.44345269884382,2.336178779602051
8,1.9106229117938451,1.87417357308524
9,1.4922934855733598,1.3653054918561662
10,1.0981345070259911,1.1209451300757272
11,0.9264196689639773,0.9818526932171413
12,0.8398215344973973,0.9328709500176566
13,0.7686102369001934,0.8356294546808515
14,0.7171395889350346,0.7942176546369281
15,0.6721360789878028,0.7575508100645882
16,0.6283401676586696,0.7369047488485064
17,0.6051843698535647,0.6936624561037336
18,0.5823561421462468,0.6835174475397382
19,0.5780785424368722,0.6778785586357117
20,0.5491193554231099,0.6453240173203605
21,0.529146916099957,0.6175271953855243
22,0.5137001701763698,0.6309696691376823
23,0.5050980310354914,0.6003886120659965
24,0.49154698103666306,0.5845879146030971
25,0.4767411968537739,0.5697771310806274
26,0.47127809694835116,0.5516238638332912
27,0.46433432932410923,0.5492357696805682
28,0.4540512210556439,0.5503852197102138
29,0.44739191979169846,0.5396574650491986
30,0.4395415995802198,0.5376592874526978
