epoch,train_loss,val_loss
1,12.083334003176008,11.668816021510533
2,11.693774700164795,11.552887644086566
3,11.645185708999634,11.488626480102539
4,11.479153633117676,11.144161224365234
5,10.79966310092381,10.39861352103097
6,10.53124737739563,10.56756946018764
7,10.411910261426653,10.417291913713727
8,10.371701649257115,10.480421202523369
9,10.34601630483355,10.416181564331055
10,10.269094944000244,10.391575813293457
11,10.19893707547869,10.156312533787318
12,10.264738048825945,10.234556470598493
13,10.212106125695366,10.284126554216657
14,10.20917957169669,10.17274420601981
15,10.055276836667742,9.994795526776995
16,9.907587238720485,9.872933660234724
17,9.888664960861206,9.968197413853236
18,9.812231438500541,9.832698822021484
19,9.725930963243757,9.77651936667306
20,9.634667941502162,9.704380307878766
21,9.709766864776611,9.821183477129255
22,9.563038860048566,9.65357494354248
23,9.613780294145856,9.585098539079938
24,9.561347859246391,9.512799671718053
25,9.538297789437431,9.582893371582031
26,9.48991356577192,9.643877301897321
27,9.371398857661656,9.472932270595006
28,9.403191225869316,9.615610803876605
29,9.364993742534093,9.428338323320661
30,9.328638655798775,9.525128092084612
