epoch,train_loss,val_loss
1,12.16728949546814,11.612859725952148
2,11.72838088444301,11.58731392451695
3,11.66551034791129,11.527730805533272
4,11.6483941418784,11.514358111790248
5,11.636551312037877,11.500346047537667
6,11.599806172507149,11.534595761980329
7,11.609427383967809,11.481586456298828
8,11.612194061279297,11.490581512451172
9,11.595546892711095,11.491489682878766
10,11.607531479426793,11.459594181605748
11,11.596767323357719,11.47473076411656
12,11.600433962685722,11.478541646684919
13,11.585931948253087,11.482129096984863
14,11.608167273657662,11.455677577427455
15,11.577517202922277,11.475656645638603
16,11.576749461037773,11.46891416822161
17,11.583308253969465,11.488630158560616
18,11.58659907749721,11.445117541721888
19,11.58149596623012,11.483404840741839
20,11.585628032684326,11.476361683436803
21,11.592723199299403,11.448503494262695
22,11.573945726667132,11.458397456577845
23,11.573393719536918,11.452919687543597
24,11.566125324794225,11.463405064174108
25,11.586114645004272,11.470302036830358
26,11.585067851202828,11.456868716648646
27,11.571536370686122,11.471555437360491
28,11.571938276290894,11.494746480669294
29,11.585783311298915,11.441620554242816
30,11.57544309752328,11.459936959402901
