epoch,train_loss,val_loss
1,12.202061810070955,11.401287110913701
2,11.796398484757178,11.293936400854287
3,11.74758611751508,11.25839124407087
4,11.707367989584364,11.23430627133666
5,11.688720719220768,11.212998334099264
6,11.650344542813201,11.135492917870273
7,11.615072483754862,10.882887896369486
8,11.004008522516564,10.355623133042279
9,10.544214707386645,10.25006392022141
10,10.460700892194916,10.1302518443901
11,10.41666203108518,9.945147442216633
12,10.383872020093701,9.954837927297383
13,10.286883841084025,9.99624101654822
14,10.085225487560159,9.771416864475283
15,10.070462464280268,9.670819739333721
16,9.886649827916914,9.582176016158417
17,9.840220551953538,9.594672964400605
18,9.787014152430281,9.472538218778723
19,9.748924094413404,9.388590772612757
20,9.672077243338155,9.488777417094768
21,9.619963456809772,9.385016914175338
22,9.602680254586135,9.268970329220556
23,9.476763053282404,9.275532794599773
24,9.471962361396114,9.418542236841025
25,9.463895870160453,9.307050015746045
26,9.403803056805446,9.27384515970695
27,9.412894252986344,9.30567595537971
28,9.319108166272127,9.197639978232504
29,9.32201435394931,9.324878275895319
30,9.290930977350548,9.239321764777689
